Település,Településtípus,Év,Belföldi oda- és elvándorlás különbsége ezer lakosra,Bűncselekmények száma ezer főre,Diplomások aránya (interpolált),Egy lakosra jutó SZJA adóalapot képező belföldi jövedelem (Ft),Gimnáziumi tanulók a nappali oktatásban ezer főre,Helyi önkormányzatok összes költségvetési bevétele (1000 Ft) egy főre,Iparűzési adó egy főre (1000 ft),Közüzemi ivóvízvezeték-hálózatba bekapcsolt lakások aránya (százalék),Lakások átlagos négyzetméterára,Alapszolgáltatásokon felüli kiadások egy főre (1000 Ft),Állami támogatások egy főre (pályázatok),"Az év folyamán épített lakás, 1000 lakásra (db)",Egy házi- és házi gyermekorvosra jutó lakos (fő),Élelmiszer és élelmiszer jellegű belkereskedelmi egységek száma tízezer főre (db),Eltartottsági ráta,"Felsőfokú intézmények nappali tagozatos hallgatói (képzés helye szerint), 1000 lakosra (fő)",Gyógyszertárak tízezer főre,"Játszóterek, tornapályák, pihenőhelyek ezer főre",Közcsatornahálózatba bekapcsolt lakások aránya (százalék),Kulturális rendezvényeken részt vevők száma egy főre,Legközelebbi legalább 50 ezer fős város elérési ideje közúton a legrövidebb úton (perc),Nem élelmiszer jellegű belkereskedelmi egységek száma tízezer főre (db),"Nyilvántartott álláskereső, 100 15-64 évesre (fő)",Önkormányzati járdák kiépítettsége (százalék),Önkormányzati utak kiépítettsége (százalék),"SZJA adófizető, 100 lakosra (fő)",Vendégéjszakák száma a kereskedelmi szálláshelyeken száz főre (db),Vendéglátóhelyek száma tízezer főre (db),25 év alatti nyilvántartott álláskeresők aránya (százalék),"Alkotó művelődési közösségek tagjai, 100 lakosra (fő)",Bevásárlóközpontok (városok) (igen-nem),Házi segítségnyújtásban részesülők ezer főre,Helyközi autóbusz-megálló léte (igen-nem),Internet-előfizetések száma ezer főre,Jelzőrendszeres házi segítségnyújtásban részesülők tízezer főre,Kormányablak léte (igen-nem),Közüzemi szennyvízgyűjtő-hálózatban (közcsatornában) tisztítottan elvezetett szennyvíz aránya (százalék),Lakosságtól szelektíven elszállított települési hulladék aránya (százalék),Lakott területen történt összes közúti közlekedési baleset ezer főre (eset),Mozi léte (igen-nem),"Múzeumi látogatók, 100 lakosra (fő)","Működő kórházi ágy, 1000 lakosra (db)",Önkormányzat által kiutalt lakások ezer főre (db),Postai szolgáltatóhelyek tízezer lakosra,"Rendőrkapitányság, határrendészeti kirendeltség, rendőrőrs, körzeti megbízott székhely léte (igen-nem)","Rendszeres művelődési formákban résztvevők, 100 lakosra (fő)",Szállított utasok a helyi tömegközlekedésben (városok) (1000 fő),"Személygépkocsi, 1000 lakosra (db)",Színház léte (igen-nem),Színházak látogatói (fő),"Természetes szaporodás, fogyás (ezrelék)",Utaskilométer a helyi tömegközlekedésben (városok) (1000 km),Vasútállomás léte (igen-nem),Indexpontszám,Rangsor
Szekszárd,Megyeszékhely,2022,"-8,1","11,9","24,1","2405941,6","30,7","340,9","85,55","87,7",378,"77,4","67637,4","0,5","1431,3","47,2","61,7","19,3","3,3","2,2","80,7","15,1",,"139,7","2,4",100,"67,8","50,8","83,6","56,9","10,4","4,7",100,3,100,"416,8","41,9",100,100,"14,3","1,1",100,"134,2","24,4","0,7","0,7",100,"8,2","1870,4","472,7",100,8428,"-8,9","6477,1",100,"31,1",16
Szolnok,Megyeszékhely,2022,"-3,2","10,5","23,5","2522881,1","33,1","511,3","94,78","92,9",373,"139,6","76423,5","3,8","1459,3","33,8",56,"10,8","3,3","0,7","92,6","4,1",,102,"2,8",100,"47,5","53,8","66,6","51,2","11,3","2,1",100,"9,3",100,"411,2","23,7",100,100,"14,1","1,3",100,"75,3","21,5",1,"0,6",100,"7,1","11690,8","401,2",100,64889,"-5,9","40584,3",100,"41,3",10
Szombathely,Megyeszékhely,2022,"1,8","8,1","22,1","2516341,7","36,9","348,4","118,28","99,9",467,"36,8","37753,3","5,8","1600,9","29,4","53,8","29,7","2,5","1,6","98,3","4,5",,"93,2","1,7",100,"58,4","53,7","112,9",47,"8,8","0,6",100,"4,1",100,"412,3","19,9",100,100,3,"1,7",100,"58,4","21,1","9,1","0,9",100,"3,4",2860,"455,6",100,60718,"-5,4",41649,100,"42,1",8
Tatabánya,Megyeszékhely,2022,"-3,6","7,4",15,"2581052,4","18,5","355,4","113,98","98,1",453,"67,2","57824,1","1,2","1646,9","31,9","50,1","5,5","2,6","12,6","94,5","3,6",,"65,3","1,6","98,8","78,2","55,3","38,2","28,8","9,8","2,7",100,"4,8",100,"402,5","12,8",100,100,"7,1","0,9",100,0,"11,3","0,8","0,5",100,"6,5",11165,"423,4",100,29104,-6,72576,100,"28,8",17
Veszprém,Megyeszékhely,2022,"-10,6","5,2","26,7","2719937,9","38,3","841,3","156,3","94,5",657,"434,5","95036,2","4,3","1351,8","37,9","52,8","73,6","3,3","1,7",94,"1,7",,"116,9","1,4","96,8","51,1","55,7","228,4","61,5","7,4","1,9",100,"6,5",100,"425,6","27,1",100,100,"8,8","0,9",100,3,"16,4","0,1","0,7",100,"6,7",10768,"440,3",100,164947,"-5,1",43070,100,"49,8",3
Zalaegerszeg,Megyeszékhely,2022,"0,1","6,3","21,6","2423920,8","37,2","628,2","97,31","92,7",416,"188,5","105625,1","2,6","1788,2","35,7","57,6","13,4","2,7","1,7","83,6","2,6",,"113,7","1,9","98,5","63,9","54,7","122,5","62,8","10,2","2,8",100,"3,6",100,"425,7","11,5",100,100,"24,9","1,2",100,"97,4","18,1","0,7","0,9",100,"7,6","7070,6","470,1",100,85347,"-8,9","20055,6",100,"41,4",9
Budapest 01. ker.,Kerület,2014,"7,179240364","42,2","46,5","1259655,7","106,3",480,"61,5",,336,"253,4409417",,0,"997,3",49,"58,2",,"3,6",4,,"32,2",,"10,1","4,6","98,1",100,44,"2172,225565",103,"4,6","35,8",1,"4,6",,,"20,1",100,,,"4,171179",100,"5104,19",0,"2,2",2,100,"41,97",,436,100,0,"-2,1",,,"40,6",1
Budapest 02. ker.,Kerület,2014,"0,245541195","43,1","48,2","1244219,2","44,1","190,3","56,3",,357,"35,50472109",,"0,5","1357,6",48,"68,1",,"2,7",1,,"1,2",,"11,4","5,6","84,5",100,"41,6","327,0910065",59,"5,6","2,3",100,"3,9",,,"7,5",100,,,"1,718788",100,"5,81","13,9","0,3","1,1",100,"4,25",,"393,3",100,0,"-3,1",,,"27,8",8
Budapest 03. ker.,Kerület,2014,"1,968335473","30,9",30,"1059780,5","25,4","153,3",50,,239,"25,11778893",,"1,7","1444,2",46,"51,4",,"2,7","3,8",,"0,9",,"8,5","8,3","77,4",100,"44,9","255,5171743",45,"8,3","2,2",100,"2,7",,,"8,3",100,,,"1,423737",100,"84,22","3,6","3,9",1,100,"4,73",,334,100,0,-2,,,"23,9",11
Budapest 04. ker.,Kerület,2014,"4,022454587","21,4","22,9",1026357,"22,8","173,1","59,9",,189,"45,43933704",,"0,9","1510,2",46,"43,1",,"2,1",11,,"0,8",,"7,8","10,7",100,100,"47,5","191,1585065",32,"10,7","0,8",100,"1,2",,,"5,4",100,,,"1,245281",1,"2,1","4,2","1,1","0,5",100,"1,96",,"273,8",100,0,"-1,1",,,"21,8",13
Budapest 05. ker.,Kerület,2014,"5,327853256","107,6",39,"1046916,9","141,7","1027,9","52,9",,372,"339,9126232",,"0,1","1142,5",110,"47,1",,"5,3","0,8",,"15,3",,"42,8","6,4",100,100,"41,5","7579,293679",314,"6,4","2,7",1,"7,1",,,"22,8",100,,,"3,805609",100,"858,75",0,"1,7","3,8",100,"5,34",,"586,8",100,0,"-6,4",,,"34,6",2
Budapest 06. ker.,Kerület,2014,"6,966483474","71,6","37,2","935041,1","44,9","269,8","64,1",,275,"23,22981655",,0,"968,9",98,"36,9",,"3,9","1,5",,"2,6",,"47,6","8,3",100,100,"40,9","1976,561653",226,"8,3","19,3",100,"3,4",,,"8,8",100,,,"3,225224",100,"72,66","5,1","2,4",1,100,"27,65",,"340,3",100,0,"-1,9",,,"32,1",3
Budapest 07. ker.,Kerület,2014,"2,900478487","46,6","31,1","866898,4",34,"277,9","60,5",,228,"91,46684772",,"3,1","1176,7",97,"36,3",,3,"1,1",,"3,6",,"25,7","6,9",100,100,42,"2114,755492",170,"6,9","4,2",1,"3,2",,,"9,2",100,,,"1,93981",100,"1412,79","29,2","0,4","0,9",100,"10,24",,261,100,0,"-4,3",,,"31,1",5
Budapest 08. ker.,Kerület,2014,"12,94229245","62,9","27,1","752462,9","25,7","282,9","49,3",,181,"60,43051314",,"1,8","1350,1",84,35,,"3,8","1,6",,"2,1",,"45,9","8,5",99,100,"37,8","942,2326754",113,"8,5","1,8",100,"2,3",,,"7,1",100,,,"2,533883",100,"517,04","40,5","1,3","1,3",100,"11,3",,"229,7",100,0,"-2,6",,,"24,1",10
Budapest 09. ker.,Kerület,2014,"4,025642327","52,3","36,1",1016667,"50,1","255,4","60,6",,247,"53,20853842",,"11,8","1374,9",119,"38,2",,"3,9","3,6",,"0,4",,"20,9","10,9","95,9",100,"43,2","675,3793068",151,"10,9","0,7",100,"2,5",,,0,100,,,"2,520255",100,"251,12","27,4","7,6",1,100,"2,76",,"298,8",100,0,"-1,9",,,"31,9",4
Budapest 10. ker.,Kerület,2014,"2,757201123","30,8","20,2",845367,"24,5","195,8","59,1",,172,"25,08873868",,"0,2",1357,35,"44,4",,2,"20,8",,"1,8",,"10,1","11,2","91,6",97,"42,8","245,4569711",44,"11,2","1,1",100,"2,3",,,0,100,,,"2,719083",1,"25,56",11,"3,1","0,9",100,"5,18",,"312,4",100,0,"-2,1",,,"20,2",16
Budapest 11. ker.,Kerület,2014,"2,476739615","33,6","37,6","1161154,7","23,2","184,1","47,1",,286,"32,20270607",,"1,2","1467,5",38,"52,5",,"2,2","7,1",,"1,7",,"8,4","6,8","89,9","99,6","43,7","291,8444503",46,"6,8",4,100,"2,4",,,"5,8",100,,,"1,664264",100,"2,81","4,5","1,3","0,9",100,"7,39",,"341,9",100,0,"-1,9",,,"23,7",12
Budapest 12. ker.,Kerület,2014,"0,977332739","28,6","48,6","1287285,9","57,3",221,"50,6",,341,"46,0501526",,"0,4","1240,9",39,"71,4",,"3,3","4,3",,"2,2",,"6,5","4,3","96,8",100,"41,3","313,4031755",38,"4,3","1,6",100,"4,9",,,"10,3",100,,,"1,526011",100,"622,11",45,"0,5",1,100,"4,06",,"388,2",100,0,"-3,3",,,"28,6",6
Budapest 13. ker.,Kerület,2014,"8,627359629","38,4","35,1","1093083,6","16,4","221,3",50,,269,"58,12377807",,"3,9","1306,5",56,"44,1",,"2,4","5,4",,"4,5",,"12,9",8,"97,8","99,6","44,2","425,4477991",56,8,"0,6",100,"4,3",,,20,100,,,"2,104843",100,"4,48","21,2","5,5",1,100,"2,39",,"376,7",100,0,"-1,5",,,"28,6",7
Budapest 14. ker.,Kerület,2014,"2,985050738","38,1","33,6","1082812,2","29,1","180,3","55,9",,240,"30,79977752",,"0,5",1404,37,"53,2",,"2,6","1,1",,1,,"6,4","8,4","97,9","94,7","43,4","258,3613432",41,"8,4","5,3",100,"3,3",,,"14,5",100,,,"2,576907",100,"251,21","12,7","0,2","0,6",100,"11,52",,"310,7",100,0,"-2,6",,,"24,9",9
Budapest 15. ker.,Kerület,2014,"1,356953453","22,5","18,4","835117,4","20,6","177,4","63,3",,178,"41,72404048",,"0,5","1460,5",48,"48,3",,2,"11,3",,"0,8",,"14,6",12,"71,7","99,6","44,3","17,11130753",44,12,"0,6",100,"2,9",,,6,100,,,"1,767774",100,"1,64",0,"0,7","0,5",100,"2,77",,"313,7",100,0,"-4,9",,,"19,4",17
Budapest 16. ker.,Kerület,2014,"0,246900033",19,"26,7",1016511,"18,9",133,"56,6",,241,"28,6012976",,"4,2","1584,9",28,"53,7",,"1,9","5,2",,"3,2",,"5,2","12,1","97,7","84,5","44,4","11,10364315",24,"12,1","1,5",1,"2,2",,,11,100,,,"1,3991",1,0,0,"0,4","0,8",100,"2,94",,"395,4",100,0,"-2,7",,,"18,5",19
Budapest 17. ker.,Kerület,2014,"0,719432676","16,4","19,6","954893,4","12,9","142,9","53,7",,190,"23,98645639",,3,1717,31,"47,5",,"1,7","6,9",,"0,6",,"4,8","13,6","52,3","88,8","46,5","9,285249346",17,"13,6","0,5",100,"1,2",,,"5,7",100,,,"1,244733",1,"3,51",0,"1,1","0,8",100,"5,21",,"337,3",100,0,"-2,4",,,"15,4",21
Budapest 18. ker.,Kerület,2014,"1,05301487","23,9","19,4","920125,8","13,6","166,4",64,,190,"26,58023088",,"1,9","1494,3",47,"50,1",,"1,7","6,4",,"1,7",,12,"9,7","91,3","92,5","44,6","5,737454853",34,"9,7","0,4",100,3,,,"6,9",100,,,"1,387618",1,"65,14",0,"0,8","0,7",100,"1,43",,"334,6",100,0,"-2,9",,,19,18
Budapest 19. ker.,Kerület,2014,"3,595822934","23,1","20,8","908433,4",21,"159,7","56,4",,184,"20,31835347",,"0,5","1353,4",50,48,,"2,6","15,4",,"1,3",,"10,5","10,6","98,9","99,7","44,5","71,33685801",39,"10,6",2,100,"2,7",,,"21,8",100,,,"1,674767",100,"5,93",0,"0,4",1,100,"8,42",,"295,7",100,0,"-2,6",,,"21,4",15
Budapest 20. ker.,Kerület,2014,"0,804847307","26,2","17,8","834764,6","20,7","128,1","48,6",,172,"16,89972817",,"0,9","1431,5",56,"49,5",,"1,8","5,2",,"0,5",,"7,3","11,1","98,5",100,"43,2","10,5450183",30,"11,1","0,4",1,"3,5",,,"7,3",100,,,"1,761553",1,"23,25","19,1","0,4","0,8",100,"4,71",,"294,1",100,0,"-4,7",,,"14,9",22
Budapest 21. ker.,Kerület,2014,"3,084973446",19,"15,9","849837,7",9,"189,4","63,1",,153,"24,19046131",,"9,1","1506,4",37,"46,2",,"1,8",12,,"1,8",,"6,1","10,5","75,7",100,"44,7","7,495053629",29,"10,5","1,1",100,"2,6",,,"5,1",100,,,"1,666146",100,0,0,"0,7","0,8",100,"2,53",,"299,4",100,0,"-4,2",,,"16,9",20
Budapest 22. ker.,Kerület,2014,"-1,74299134","27,8","25,8","1001049,1","18,2","162,6","59,4",,221,"32,58171877",,"2,1","1557,3",35,"52,1",,"2,2","9,7",,"1,8",,"6,5","10,6","79,3","98,1",44,"2,00902686",24,"10,6","0,8",100,"2,1",,,11,100,,,"1,376046",100,"4,24","0,6","0,7","0,9",100,"5,5",,"349,4",100,0,"-2,2",,,"21,4",14
Budapest 23. ker.,Kerület,2014,"0,569351377","30,8","15,8",854345,"9,9","238,9","61,6",,165,"37,74453642",,2,"1902,8",47,41,,"2,2","0,4",,"0,3",,"11,4","14,6",42,"99,5","43,4","91,3020628",44,"14,6",2,100,"1,4",,,"12,7",100,,,"1,839443",1,"5,94",0,"0,3","1,8",100,"3,85",,"367,8",100,0,-4,,,"13,6",23
Budapest 01. ker.,Kerület,2022,-4,"13,8","51,7",3443712,"136,8",468,"105,84",,1095,"72,4",,0,"1003,9","33,2","58,9",,"3,3","0,4",,7,,"84,7","0,9",100,"98,1","51,7","1659,8","92,6","7,6","12,6",1,"4,3",,,"30,3",100,,,"3,5",100,4124,0,"0,5","0,4",100,"22,2",,"473,1",100,9954,"-5,7",,,"49,7",3
Budapest 02. ker.,Kerület,2022,"-4,5","9,7","51,2","3991585,3","53,3","338,4","99,38",,1138,"56,3",,"1,1","1349,5","35,8","69,7",,"2,6","0,1",,"1,1",,"74,5","0,8",100,"84,9","49,8","388,7","46,9","2,3","0,9",100,"4,8",,,"12,2",100,,,"1,9",100,"41,3",20,"0,3","0,2",100,"1,8",,"445,1",100,143858,"-5,1",,,"41,8",9
Budapest 03. ker.,Kerület,2022,"-6,7","7,5","35,5","3224104,7","35,9","271,8","96,73",,860,"25,6",,"13,5","1479,2",34,"56,5",,"2,7","0,5",,1,,"66,2","1,3",100,"87,7","53,8","140,7","34,4","6,4","1,7",100,3,,,"8,4",100,,,"1,5",100,"79,2",3,2,"0,7",100,"2,5",,"452,2",100,148387,"-4,4",,,"36,8",12
Budapest 04. ker.,Kerület,2022,"-3,4","5,7","27,9","2898591,4","35,2","241,5","107,32",,723,"32,9",,"5,8","1526,6","33,7","50,5",,"2,4","1,2",,"0,4",,"65,3","1,4",100,100,55,"245,7","26,4","5,6","1,3",100,"0,8",,,"8,3",100,,,1,1,2,"4,5","0,5","0,3",100,"2,5",,"353,5",100,1237,"-3,5",,,"33,7",14
Budapest 05. ker.,Kerület,2022,"-4,2","45,4","46,7",3342806,"196,3","1715,5","99,494",,1228,"412,5",,0,"1067,9","72,8","42,9",,"5,1","0,1",,"7,7",,"280,1","0,7",100,100,"51,1","7479,1","302,6","3,8","1,5",1,"5,8",,,"42,6",100,,,"4,2",100,"1396,2",0,0,"2,1",100,18,,"779,6",100,262202,"-7,7",,,"59,8",1
Budapest 06. ker.,Kerület,2022,"-0,8","37,7","43,1","2880482,2",49,"431,1","119,4",,947,"85,6",,"3,9","1055,6","75,8","34,6",,"4,6","0,2",,"2,8",,"371,8","1,6",100,100,"50,5","3311,2","223,6","5,8","6,3",100,"3,5",,,"13,5",1,,,"3,4",100,"778,9","5,6","0,7","0,3",100,"7,1",,"516,7",100,979018,"-5,2",,,"51,1",2
Budapest 07. ker.,Kerület,2022,"-2,7","31,1","37,7","2526225,8",47,"438,1","110,74",,862,32,,"1,1",1203,"65,3","32,9",,"2,8","0,1",,"0,6",,"173,3","1,1",100,100,"51,7","2469,7","182,7","4,2","0,7",1,7,,,"10,1",1,,,"2,4",100,"922,9","24,3","1,3","0,4",100,"1,7",,"318,2",100,464280,"-5,8",,,"42,6",8
Budapest 08. ker.,Kerület,2022,"-3,3","28,5","33,7","2528677,6","35,8","414,5","90,86",,776,"45,7",,"7,2","1226,6","61,2","32,4",,"4,1","0,2",,"0,8",,"280,5","1,6",100,"99,6","52,6",1122,"86,7","4,4","1,5",100,"2,5",,,"10,4",100,,,"2,5",100,"741,3","45,8","1,1","0,9",100,"2,6",,"300,6",100,173093,"-6,1",,,"43,1",7
Budapest 09. ker.,Kerület,2022,"1,3","17,7","40,3","3301806,2","59,8",431,"103,93",,855,"41,7",,"18,6","1531,7","82,6","36,1",,"4,1","0,5",,"0,1",,"146,4","1,5",100,"95,9","54,8","1595,5","116,3","4,8","0,3",100,3,,,0,100,,,3,100,"223,5","16,5","5,2","0,7",100,"0,5",,"370,8",100,621723,"-1,6",,,"49,1",4
Budapest 10. ker.,Kerület,2022,"-2,5","15,2","24,8","2581945,8",28,"332,9","105,28",,674,"90,6",,"2,8","1359,1","28,8","43,6",,"2,3","1,3",,"0,6",,"75,2","1,6","98,9","88,9","55,6","217,4",32,"6,5","0,6",100,"2,1",,,0,100,,,"2,4",1,"9,2","10,1","4,4","0,7",100,"1,5",,"385,8",100,3857,-7,,,"33,8",13
Budapest 11. ker.,Kerület,2022,"5,5","10,7","43,8","3460290,6","28,8","241,7","84,47",,978,"26,2",,"10,7","1459,5","28,7","53,1",,"2,6","0,8",,"2,1",,"71,9",1,"99,6","90,8","53,3","115,6","42,9","4,1","2,5",100,"3,1",,,"10,6",100,,,"1,8",100,"1,9","4,7","1,1","0,5",100,"7,3",,"443,3",100,205089,"-2,3",,,"41,3",10
Budapest 12. ker.,Kerület,2022,"-3,1","6,8","51,2","3822635,9","70,4","407,5","89,16",,1075,"106,1",,"1,5","1318,9","33,9","69,8",,"3,2","0,5",,"0,9",,"50,4","0,8",100,"98,4","49,9","217,6",31,"3,6","0,2",100,"4,5",,,"14,8",100,,,"1,3",100,"125,6","39,2","0,4","0,5",100,"2,2",,"449,8",100,41339,"-5,1",,,"44,4",6
Budapest 13. ker.,Kerület,2022,"2,3","10,1","40,2","3499951,7","23,8","372,4","86,23",,927,"73,2",,"21,6","1402,3","43,4","45,7",,"2,7","0,5",,2,,"90,8","1,5","99,5","97,9","56,1","360,3","53,1",5,"0,8",100,"5,3",,,"13,2",100,,,"2,1",100,"7,6","16,1","4,9","0,6",100,"2,4",,"598,1",100,347581,"-1,3",,,"45,4",5
Budapest 14. ker.,Kerület,2022,-1,"10,8","38,1","3184079,8","35,9","315,6","99,89",,808,"15,1",,"3,3",1502,"31,8","51,4",,"2,7","0,1",,"1,4",,56,"1,3",100,"99,6","53,5","318,5","34,7","4,7","1,4",100,5,,,"19,8",100,,,"2,1",100,"824,6","17,2","0,6","0,3",100,"4,8",,"403,9",100,415809,"-3,7",,,"40,5",11
Budapest 15. ker.,Kerület,2022,"-7,5","5,9","22,5",2476950,"23,3","280,7","112,38",,682,"38,7",,"0,7","1574,8",41,"51,4",,"2,4","1,7",,"0,4",,"113,4","1,2","99,6","72,1","53,7","22,7","31,5","5,2",1,100,"1,1",,,"3,6",100,,,"1,7",100,1,0,"0,9","0,4",100,"2,2",,"373,2",100,10948,-8,,,"28,1",19
Budapest 16. ker.,Kerület,2022,"-6,2","4,3",32,"3053259,8","22,2","282,1","95,86",,781,"66,6",,"10,3","1639,9","25,5","59,9",,"2,2","0,7",,"1,3",,"43,4",1,"85,1","98,2","52,8",0,"21,3","3,8","1,3",1,"2,8",,,"11,1",100,,,"1,4",1,0,0,"0,2","0,4",100,"1,9",,"481,9",100,10109,"-5,6",,,30,17
Budapest 17. ker.,Kerület,2022,"-7,8","3,5","24,6","2743917,3","15,3","229,6","92,81",,685,"58,3",,8,"1972,6","28,9","56,7",,"1,9","0,8",,"0,7",,"40,2","1,2","88,5","54,1","53,7",0,"15,2","5,8","0,7",100,"1,3",,,"3,9",100,,,"1,2",1,"3,4",0,"1,5","0,2",100,"3,3",,"421,9",100,3983,-6,,,"23,1",21
Budapest 18. ker.,Kerület,2022,"-2,2",7,24,2719266,"15,8","251,7","110,83",,677,"32,4",,"0,7","1545,4","34,1","53,9",,"1,5","0,7",,"0,8",,"87,8","1,1","96,2","94,4",53,"30,6","30,1","7,1","0,6",100,"2,5",,,"10,4",100,,,"1,2",1,"124,5",0,"0,6","0,4",100,"1,6",,"415,3",100,640,"-4,7",,,"28,4",18
Budapest 19. ker.,Kerület,2022,"-5,2","10,1","25,4","2558692,2","20,1","272,1","102,28",,682,"17,7",,2,"1528,7","40,8","54,8",,"2,5","1,7",,"1,5",,"74,3","1,2","99,7",99,"53,1",69,"30,8","7,7","2,9",100,"3,7",,,"33,4",100,,,"1,9",100,"2,1",0,"0,4","0,7",100,"7,3",,"350,5",100,4908,"-5,4",,,"31,8",15
Budapest 20. ker.,Kerület,2022,"-3,8","8,8","21,8","2477596,7","24,1","225,7","96,48",,622,"30,5",,"0,6","1669,4","43,6","51,8",,"2,3","0,7",,"0,9",,"55,9","1,5","22,8","96,4",53,"27,8","19,9","7,4","0,4",1,"3,8",,,"9,1",100,,,"1,6",1,"4,6",18,"0,3","0,3",100,"1,3",,"351,7",100,39530,"-6,6",,,26,20
Budapest 21. ker.,Kerület,2022,"-8,9",7,"20,5","2436773,2","12,4","315,4","114,62",,613,"64,8",,"0,2",1563,"30,6","52,4",,"1,8","1,2",,"0,8",,"44,6","1,4",100,"86,5","53,1",0,22,7,"1,8",100,"2,5",,,"4,7",100,,,"1,4",100,"9,1",0,"0,4","0,3",100,"3,1",,"376,1",1,0,"-7,6",,,"21,5",23
Budapest 22. ker.,Kerület,2022,"-6,4","9,1","31,5","3027945,5","24,1","286,8","96,34",,782,43,,"6,4",1714,"24,4",58,,"2,1",1,,"1,1",,"43,1",1,"99,9","93,3","52,6","199,9","18,4","5,2","0,5",100,"3,5",,,"19,4",100,,,"0,8",100,4,"0,7","0,1","0,5",100,"1,8",,"414,2",100,81851,"-2,9",,,"31,8",16
Budapest 23. ker.,Kerület,2022,"-8,1","15,1","20,4","2571195,2","10,1","347,5","105,48",,591,"50,7",,"3,6","1858,3","53,4","48,8",,"2,2","1,2",,"0,5",,"99,6","1,1","99,5","45,6","54,9",0,"36,3","9,4","1,9",100,"1,6",,,"8,5",100,,,"2,6",1,"4,3",0,"0,2","0,9",100,"2,3",,"491,5",1,0,-5,,,"22,3",22
Érd,Város,2014,"10,8","24,9","18,8","1077562,3","15,6","281,6","24,920","89,6","175,8","121,6","166622,038","4,3","2102,0","34,9","46,0",0,"2,1","0,1","70,12","0,4",0,"91,8","2,0","100,0","34,0","44,7","0,7","31,4","13,2","0,5","100,0","0,6","100,0","257,6","21,7","1,0",100,"0,24","0,8","1,0","5,6","0,0","0,0","1,0","100,0","2,0","4911,8","393,3","1,0",,"-1,7","18434,3",100,"20,6",40
Sopron,Város,2014,"9,4","15,4","17,6","811041,6","32,2","283,2","49,740","97,7","215,1","106,0","469027,047","5,7","1718,2","37,8","46,9","49,15","2,7","1,2","95,78","1,5",0,"117,5","0,7","77,1","47,1","46,3","57,7","57,2","7,8","0,6","100,0","2,6","100,0","316,0","0,0","1,0",100,"0,06","1,4","100,0","161,3","16,2","0,0","1,8","100,0","9,2","14843,7","363,5","1,0",,"-2,8","47867,7",100,"29,4",5
Nagykanizsa,Város,2014,"-2,5","16,2","14,2","943240,1","29,2","218,7","67,000","100,0","102,0","34,4","144593,655","0,3","1449,6","44,1","46,9","6,06","2,7","1,1","89,18","3,5","54,75","144,7","5,0","100,0","85,8","48,6","8,5","45,2","15,4","1,9","100,0","2,6","100,0","304,7","24,5","1,0",100,"27,1","1,1","100,0","43,9","10,2","0,0","1,7","100,0","4,3",7027,"338,5","1,0",,"-4,4",19877,100,"24,1",23
Dunakeszi,Város,2014,"13,0","17,6","24,6","1397095,8","15,9","133,9","46,250","90,2","226,2","42,8","34257,8622","6,0","1892,6","33,1","47,2",0,"2,2","0,6","87,14","2,0","27,13","72,8","2,8","100,0","72,1","48,1","0,0","30,3","10,4","1,2","100,0","0,9","100,0","313,2","0,0","1,0",100,0,"1,0","1,0","0,0","0,0","0,0","1,0","100,0","1,7","7,8","373,4","1,0",,"3,2","54,6",100,"21,9",31
Hódmezővásárhely,Város,2014,"-5,5","21,2","13,2","787210,7","24,2","278,1","34,620","98,7","104,0","87,4","203290,995","0,9","1355,9","42,0","49,0","10,82","2,9","0,6","87,75","2,1","33,94","115,8","3,0","78,5","45,8","45,9","6,4","50,7","17,2","0,7","100,0","6,6","100,0","234,5","17,7","1,0",100,"9,92","1,2","100,0","72,9","13,2","0,0","1,3","100,0","1,0",665,"274,4","1,0",,"-3,8",2552,100,"21,4",33
Dunaújváros,Város,2014,"-3,0","32,4","14,1","1112904,6","19,8","309,9","82,630","99,2","101,5","70,2","229330,777","0,1","1415,8","36,0","46,0","46,45","2,6","1,0","96,8","0,7","35,01","84,5","3,9","97,9","75,0","50,8","2,5","40,5","17,3","1,2","100,0","3,0","100,0","333,2","8,6","1,0",100,"0,19","1,3","100,0","11,9","14,6","0,0","1,5","100,0","2,9","5871,8","287,4","1,0",,"-4,2","21985,2",100,"23,7",26
Szigetszentmiklós,Város,2014,"12,7","23,5","17,1","1087170,1","18,8","357,5","85,030","89,8","161,0","199,3","259200,389","3,2","2195,9","38,4","46,3",0,"2,0","0,7","68,3","1,4","15,58","103,3","2,4","99,8","52,0","44,5","0,5","45,3","10,1","0,8","1,0","1,4","100,0","300,0","6,8","1,0",100,"6,99","0,9","100,0","9,7","0,0","0,0","0,9","100,0","3,0",,"373,9","1,0",,"2,8",,100,"24,5",18
Cegléd,Város,2014,"-2,0","28,9","12,7","842763,6","19,6","210,5","32,750","100,0","113,6","55,4","150811,51","0,9","1739,0","43,3","50,0",0,"3,3","0,3","75,75","0,6","38,4","107,1","4,7","92,3","24,2","44,2","1,3","44,6","18,8","0,3","1,0","1,8","100,0","235,1","22,7","1,0",100,"14,79","1,3","100,0","15,3","20,3","0,0","1,4","100,0","1,4",,"314,2","1,0",,"-4,0",,100,"17,6",49
