Település,Településtípus,Év,Belföldi oda- és elvándorlás különbsége ezer lakosra,Bűncselekmények száma ezer főre,Diplomások aránya (interpolált),Egy lakosra jutó SZJA adóalapot képező belföldi jövedelem (Ft),Gimnáziumi tanulók a nappali oktatásban ezer főre,Helyi önkormányzatok összes költségvetési bevétele (1000 Ft) egy főre,Iparűzési adó egy főre (1000 ft),Közüzemi ivóvízvezeték-hálózatba bekapcsolt lakások aránya (százalék),Lakások átlagos négyzetméterára,Alapszolgáltatásokon felüli kiadások egy főre (1000 Ft),Állami támogatások egy főre (pályázatok),"Az év folyamán épített lakás, 1000 lakásra (db)",Egy házi- és házi gyermekorvosra jutó lakos (fő),Élelmiszer és élelmiszer jellegű belkereskedelmi egységek száma tízezer főre (db),Eltartottsági ráta,Gyógyszertárak tízezer főre,"Játszóterek, tornapályák, pihenőhelyek ezer főre",Kulturális rendezvényeken részt vevők száma egy főre,Nem élelmiszer jellegű belkereskedelmi egységek száma tízezer főre (db),"Nyilvántartott álláskereső, 100 15-64 évesre (fő)",Önkormányzati járdák kiépítettsége (százalék),Önkormányzati utak kiépítettsége (százalék),"SZJA adófizető, 100 lakosra (fő)",Vendégéjszakák száma a kereskedelmi szálláshelyeken száz főre (db),Vendéglátóhelyek száma tízezer főre (db),25 év alatti nyilvántartott álláskeresők aránya (százalék),Házi segítségnyújtásban részesülők ezer főre,Internet-előfizetések száma ezer főre,Jelzőrendszeres házi segítségnyújtásban részesülők tízezer főre,Lakosságtól szelektíven elszállított települési hulladék aránya (százalék),Önkormányzat által kiutalt lakások ezer főre (db),"Személygépkocsi, 1000 lakosra (db)",Indexpontszám,Rangsor
Álmosd,Kistelepülés,2022,"2,5","0,6","7,8","1299027,3",0,"494,8","28,63","95,3",55,"134,2","87438,7",0,1602,"56,2","55,5",0,0,"1,1","18,7","6,7","99,3","15,2","45,2",0,"9,4",17,"25,6","258,4","12,5",4,0,"337,1","9,9",1024
Ikervár,Kistelepülés,2022,"-26,4","1,3","11,3","2416153,7",0,"308,1","44,32",100,0,"83,3","102979,4","1,5",1598,"18,8","52,1","6,3",0,"5,8",25,2,100,"16,4","56,7",0,"18,8","17,2","3,8",276,0,"8,98",0,"522,5","10,2",842
Kisléta,Kistelepülés,2022,"-33,1","6,9",6,"1213957,4",0,"321,6","11,03","89,2",0,"100,8","229005,3",0,1596,"25,1","37,7","6,3",0,"0,3","25,1","8,8",100,"11,9","43,6",0,"9,4","18,9","17,5","169,8","6,3","16,39",0,"326,4","8,5",1919
Csabacsűd,Kistelepülés,2022,"25,3","1,3","7,2","1986816,4",0,"341,6","31,93","93,3",105,"67,3","22670,9","1,2",,"37,7","60,4","6,3","2,5","0,8","9,4","1,3",91,"10,6","56,8","80,1","25,1","10,5","15,7","334,6","12,6","18,41",0,"422,5","11,2",531
Bakonyszentlászló,Kistelepülés,2022,"13,9","5,7","8,6",2238813,0,"339,6","13,41","82,6",199,"63,6","81174,1","1,3",,"37,8","55,2","6,3","0,6","0,9","37,8","0,9",100,"47,6","50,3","439,1","62,9","15,4","6,9","273,8",0,"29,82",0,"481,4","12,2",316
Karcsa,Kistelepülés,2022,"-24,5","3,2","7,3",1486178,0,"378,7","7,05",96,0,137,0,0,1587,"37,8","56,8","6,3","0,6","2,1","25,2","7,1",100,"9,7","51,1","80,4","9,5","22,6",29,"259,6","56,7","14,71",0,"369,3","8,5",1936
Nagykörű,Kistelepülés,2022,"-11,5","5,1","10,8","1391390,3",0,"297,9","15,92",100,166,"123,4",0,"1,1",1581,"56,9","63,5","6,3","0,6","0,4","44,3","7,9",100,"11,3","43,7","106,9","56,9","10,9","13,3","307,4","107,5","6,69",0,"352,3","11,5",449
Kisgyőr,Kistelepülés,2022,"-10,8","5,1","11,8","1814352,8",0,"459,6","17,4","99,2",0,"77,1","159602,2","3,1",1572,"9,5","48,7","6,4",0,"2,4","9,5","6,2",100,"27,8","49,1",61,"25,4","10,6","9,5",243,"19,1","35,8",0,"384,2","9,9",977
Bükkábrány,Kistelepülés,2022,"13,8","6,4","13,2","2307336,4",0,"600,9","139,85","97,5",170,"388,9","1183,3","2,9",1571,"57,3","51,9","6,4",0,"1,5",70,"3,7",100,"87,9","55,1",0,"31,8","13,5","7,6","293,4",0,"33,81",0,"430,3","13,5",145
Türje,Kistelepülés,2022,"19,4","1,3",6,"1400746,7",0,"570,9","20,14","97,6",0,"156,5","314315,6",0,1568,"9,6","59,7","6,4","1,3","0,6","31,9","2,9","90,8","12,9","44,2","81,4","9,6",22,"20,4","284,4","6,4","2,7",0,"404,3","9,3",1329
Nagycserkesz,Kistelepülés,2022,"-14,3","16,7","4,6","1147184,9",0,"462,1","25,2","81,8",0,60,"196257,6","1,6",1559,"9,6","57,5","6,4",0,"0,5","25,7","5,3",,"6,3","45,7",0,"32,1","25,7",18,"125,7",77,"16,31",0,381,"7,7",2435
Csókakő,Kistelepülés,2022,"14,2","0,6","19,3","2497490,7",0,"311,1","37,7",91,0,"62,4","798,3","6,3",,"19,3","61,8",0,"1,3","0,4","19,3","1,9",100,"44,4","52,6","87,9","9,6","7,7","0,6","365,9",0,"21,75",0,"426,2","10,2",835
Hernádkak,Kistelepülés,2022,"2,5","11,6","11,5","1691512,1",0,"249,2","16,21","97,7",0,44,"6959,5","1,8",1558,"19,3","49,2",0,"0,6","1,4","9,6","7,8","88,4","46,2","48,9",0,"38,5","16,4","3,2","258,7",0,"23,06",0,"412,7",9,1544
Kőszárhegy,Kistelepülés,2022,"-8,4","2,6","14,9","2497553,9",0,"381,9","60,73",100,0,"15,2",41408,"8,4",,"9,6","49,1",0,0,"1,2","9,6",1,"88,9","62,4","54,9",0,"9,6","14,3","3,9","329,9","6,4","20,07",0,"496,5","10,1",917
Nógrádmegyer,Kistelepülés,2022,"7,1",18,"2,8","859731,5",0,"250,5","6,67","82,6",78,"23,3",14791,0,,"38,6","51,6",0,0,"0,7","9,6","20,4","23,9",20,"39,1","82,1","25,7","15,7","5,1","200,6",0,"5,62",0,"349,2",8,2280
Rimóc,Kistelepülés,2022,-10,"8,4","4,2","1330106,2",0,401,"4,49","82,5",74,"115,9","77170,4",0,1555,"19,3","63,2","6,4",0,"0,8","9,6","7,6",100,"24,5","44,5",0,"9,6",15,"17,4","239,9",0,"4,96",0,"398,1","9,3",1357
Palotás,Kistelepülés,2022,"41,7","3,2","9,5","2257772,5",0,456,"8,36","84,4",171,"227,8","125086,9",0,1552,"32,2","54,3","6,4","2,6","4,3","83,8","3,7",100,"22,2",54,"82,2","19,3","9,4",9,"326,7",0,"14,26",0,"442,7",12,375
Fülöp,Kistelepülés,2022,"-3,2","0,6","4,4",1212819,0,"463,9","5,91","83,8",0,"103,6","120606,3",0,1551,"38,7","55,7","6,4",0,"0,3","19,3","5,6",100,"12,8","43,5","82,3","25,8","9,9",20,"207,6","257,9","4,13",0,"357,8","8,6",1800
Sály,Kistelepülés,2022,-33,"19,4","5,3","978398,9",0,223,"3,37","96,6",0,"45,8","3227,9",0,,"19,4","58,1",0,0,"0,1","9,7","17,5",100,"37,6","37,3","82,4","9,7","20,3",9,"231,8",0,"41,44",0,"278,9","7,8",2372
Csépa,Kistelepülés,2022,"-9,9","9,7",5,"1222888,5",0,346,"7,92","94,2",0,"22,5","37183,5",0,,"45,2","64,1","6,5",0,3,"32,3","6,5",100,"54,3","42,3",0,"9,7",10,"18,7","259,9",0,"1,77",0,342,"9,1",1504
Görcsöny,Kistelepülés,2022,"31,9",0,"11,7","1834378,4",0,"301,4","22,19",100,0,"72,1","43387,9","1,9",1544,"45,3",81,"6,5","1,3","1,4","38,9","1,5","73,8","20,7","46,4",0,"32,4",0,"5,8","262,3","84,2","17,96",0,"412,6","9,9",1017
Penc,Kistelepülés,2022,"15,9","0,6","12,7","2424718,7",0,183,"8,54","93,8",488,"60,7","3226,5","3,6",1544,"45,3","50,8","6,5","1,3","1,4","32,4","1,1",100,"3,2","53,7",0,"25,9","7,1",0,"288,9",0,"6,07",0,"431,4","11,5",461
Alsóvadász,Kistelepülés,2022,"-20,9","7,8","3,1","1050177,4",0,"298,8","4,92","75,6",35,66,0,0,,"25,9","61,3",0,"0,6","0,2","9,7","13,4",100,"62,7","42,4",0,"9,7","21,8",13,"198,4","58,4","23,07",0,"219,2","8,5",1928
Gyermely,Kistelepülés,2022,"7,2",0,"21,4","2681689,8",0,376,"166,04","95,1",0,"141,1","630954,8","5,1",1539,"19,5","57,7","6,5","0,6","4,6","19,5","0,9",100,"50,9","54,9","82,9","9,7",0,0,"332,7",0,"19,01",0,"507,5","11,8",397
Németkér,Kistelepülés,2022,"-10,2","13,6","7,9","1932546,4",0,"155,5","19,94","99,1",0,"236,7","3248,9","2,6",,26,53,"6,5","0,6",2,26,"3,7",100,"12,3","50,9","82,9","32,5","19,2","1,9","313,8",26,"8,92",0,"460,7","8,8",1653
Olaszliszka,Kistelepülés,2022,"-29,5","22,1",7,"1104319,9",0,"261,9","12,78","95,8",0,"70,4","33648,7",0,1538,52,"61,2","6,5",0,"2,3","58,5","8,1",100,45,"42,9",83,39,"20,4","17,6","273,7","136,5","27,2",0,"314,7","9,4",1252
Sajókeresztúr,Kistelepülés,2022,"22,5","2,6","11,5","2118690,3",0,384,"20,29","98,1",0,"67,7","3249,9","1,7",1537,"19,5","53,1","6,5","1,3","4,3","9,8","3,6",100,40,"50,5",0,"9,8","6,3","44,2","274,6","45,5","23,06",0,"384,5","10,1",888
Pacsa,Kistelepülés,2022,"-5,8","10,4","9,5","1554693,8",0,"526,9","24,9","90,9",467,"50,7","6005,4",0,1534,"58,7","55,3","6,5",0,"0,7","65,2","2,7",100,"29,2","47,4","83,2","19,6","5,4","22,2","299,2","78,2","1,7",0,"476,5","12,8",216
Fajsz,Kistelepülés,2022,"-1,9","7,8","7,5","1536962,5",0,"254,8","30,53",100,45,"65,2",0,0,1532,"26,1","58,4","6,5","0,7","0,9","32,6","2,9","97,4","21,1","49,8",0,"19,6","12,2","25,5","295,7",0,"18,56",0,"417,8","10,1",897
Katymár,Kistelepülés,2022,"3,3","19,6","4,8","1079687,5",0,"389,6","14,68","97,9",47,"114,4","5049,1",0,766,"58,7","59,9","6,5",0,"2,5","26,1",2,100,"15,1","40,8",0,"9,8","9,7","6,5","143,6","58,7","16,3",0,"359,7","9,6",1168
Tarnalelesz,Kistelepülés,2022,"-20,1","26,8","3,7","982957,5",0,"556,5","8,11",73,74,"69,7",0,0,,"45,7","59,9","6,5","0,7","0,7","26,1","16,3",100,"11,9","42,9","83,3","9,8","11,2","28,7","263,7","19,6","10,78",0,"258,5","9,4",1239
Tiszaroff,Kistelepülés,2022,"-1,9","7,2","5,3","1140182,7",0,"390,5","7,47",100,74,"21,2","146962,6",0,1531,"32,7","64,1","6,5","0,7","0,9","52,3","7,3","83,9","26,3","44,8","96,9","45,7","7,6","28,1","296,5",0,"12,42",0,"263,9","10,2",850
Ozora,Kistelepülés,2022,-24,17,5,"1053869,5",0,"364,8","17,82","98,2",0,"2,6","2227,5",0,1529,"78,5","52,8","6,5","1,3","0,7","202,7","6,3","83,8","32,4",44,"83,5","58,9","14,3","18,3","281,2",0,"19,37",0,"355,8","8,6",1817
Bak,Kistelepülés,2022,"3,8","3,9","12,5","2157885,5",0,"410,8","67,59","99,3",0,66,0,0,1528,"39,3","56,7","6,5",0,"6,8","45,8",2,"62,9","40,9","49,6",0,"19,6","7,4","10,5","314,1","13,1","5,13",0,"501,3","10,6",713
Murakeresztúr,Kistelepülés,2022,"-16,6",2,7,"1842434,4",0,"477,5","20,13","98,1",148,"225,5","182219,2",0,,"26,2","47,3","6,6",0,"4,8","32,8","3,9","81,5","25,5","50,5","83,7","9,8","12,7","7,9","222,3",0,"10,93",0,"438,7","11,5",450
Sárkeresztes,Kistelepülés,2022,"13,3","3,3","20,2","3006356,9",0,"522,9","19,76","98,3",0,"136,5","275163,9","6,8",1524,"26,2","55,5","6,6","1,3",3,"19,7","1,4",100,"15,2","56,3","83,7","19,7","16,7","4,6","315,6","19,7","17,72",0,"491,5","11,1",575
Kakasd,Kistelepülés,2022,"1,9","3,3","8,4","1675113,8",0,"358,1","23,96",100,0,"129,1","11904,3","1,6",1523,"32,8","57,5","6,6",0,"2,8","19,7","1,5","97,2","19,9","50,2","83,8","26,3","9,5",2,"321,1","13,1","12,09",0,"467,5","9,8",1029
Csokonyavisonta,Kistelepülés,2022,13,"9,9","6,6","1198585,6",0,"1698,3",0,"94,6",71,"45,4","436091,4",0,1522,"26,3",59,"6,6",0,"2,5","9,9","12,7",100,"20,3","42,6","680,7","65,7","19,9","11,2","297,6","39,4","36,22",0,"394,9","11,4",479
Méra,Kistelepülés,2022,"-26,3","11,8","3,6","1278279,5",0,"268,9","22,8",84,109,"22,5",0,0,1522,"26,3","49,2",0,0,"0,3","39,4","12,9",100,"47,9","46,3",0,"19,7","17,1",0,"245,1",0,"44,86",0,"304,2","9,4",1241
Mátranovák,Kistelepülés,2022,"-4,6","1,3","9,1","1982767,8",0,"363,9","157,12","72,2",70,"73,6","198841,5",0,,"39,4","62,2",0,0,"3,4","26,3","6,2","49,5",25,"49,9",84,"26,3","3,5","9,9","239,3","26,3","4,24",0,"408,3","10,8",664
Jásztelek,Kistelepülés,2022,"-20,1","19,1","5,2","1435333,5",0,"379,8","45,67","98,9",0,"159,4","85711,1",0,1520,"26,3","55,1","6,6",0,"1,6","59,2","5,9",100,"20,2","48,4","83,9","26,3","10,8","3,3","263,8","32,9","5,8",0,"339,5","9,4",1261
Petneháza,Kistelepülés,2022,"-13,1","3,9","6,1","1904412,6",0,"349,2","117,16","92,2",0,"74,2","3112,6","1,5",1519,"46,1","41,8","6,6",0,0,"32,9","7,4",100,"14,7","57,1",0,"32,9","13,3",50,"300,9","59,2","8,66",0,"406,9","9,2",1403
Tolcsva,Kistelepülés,2022,"-13,5","4,6",11,1690079,0,"315,1","40,14","91,4",0,"9,6",0,0,1517,"105,5","48,4","6,6",0,"3,2","46,1","8,2",100,38,"52,3","369,4","98,9","14,5","22,4","331,6",0,"21,93",0,"473,3","10,5",758
Vaszar,Kistelepülés,2022,"15,4","3,3","8,1","2372686,4",0,327,"8,95",100,203,"36,2","3159,9","3,1",1517,"39,6","56,2",0,0,"0,6","26,4","1,6","21,8","36,5","54,3","84,1","19,8","4,8","9,2","207,6",0,"26,97",0,"464,7","10,7",688
Tarnaméra,Kistelepülés,2022,"-5,3","2,6","11,5","2497990,1",0,"313,1","13,39","98,9",135,"160,5","6600,4",0,1515,"46,2","52,4","6,6",0,"0,5","46,2",3,100,"28,9","57,6",0,"46,2","4,9","6,6",369,0,"19,48",0,"481,9","11,2",541
Mezőtárkány,Kistelepülés,2022,"-24,1","13,9","3,6","1187475,1",0,901,"10,86",91,97,"564,8","39881,9",0,1514,"19,8","50,5","6,6",0,"1,2",33,"5,4",100,"18,9",45,"84,3","46,2","9,9","40,3","249,7",0,"12,34",0,"268,2","10,1",915
Alcsútdoboz,Kistelepülés,2022,"1,3","3,3","12,1","2225935,4",0,"265,5","44,96","98,8",0,"85,1","3302,1","3,5",1513,"9,9","62,9","6,6",0,"0,7","46,3","1,1","64,3","14,5","52,4","84,3","59,5","14,3","11,2","285,5",0,"15,45",0,"429,6","10,2",856
Kőtelek,Kistelepülés,2022,"20,7","12,6",5,"1183176,9",0,"297,8","6,68",100,88,"56,6",0,"1,2",1512,"46,3","55,1","6,6",0,"0,3","46,3","6,5",100,19,"42,5","104,8","33,1",7,"18,5",295,"112,4","6,57",0,"283,7","10,3",817
Mezőnyárád,Kistelepülés,2022,"14,2","4,6","11,2",2200849,0,"279,5","20,53","99,3",158,"28,6","57379,9",0,1512,"33,1","48,5","6,6",0,"4,5","46,3","3,5",100,83,"53,4",0,"33,1","4,1","9,3","220,2",0,"31,88",0,"398,2",12,367
Kincsesbánya,Kistelepülés,2022,"5,5","0,7","12,3",2386510,0,"187,9","32,01","95,4",350,"24,4","3313,4","4,7",1509,"19,9","56,9","6,6","0,7",2,"33,1","1,7",100,100,"54,7","53,6","19,9",13,"4,6","312,8",0,"11,06",0,"424,8","12,8",218
Kaposszekcső,Kistelepülés,2022,"44,9",4,8,"1719145,7",0,"257,4",0,"82,4",165,"52,5","125787,9",0,1508,"19,9","64,3","6,6",2,"2,2","9,9","2,2",100,"23,9","46,2","84,6","19,9","17,2","1,3","328,9","13,3","21,6",0,"431,7","10,8",651
Öreglak,Kistelepülés,2022,"-2,6","7,3","5,3","1371968,2",0,"294,2","33,93",100,219,"45,1","3320,1",0,1506,"33,2","61,8",0,0,"2,1","33,2","6,4","74,3","37,2","42,9","99,7",10,"23,5","29,2","199,2",0,"14,43",0,"345,3","10,5",749
Bana,Kistelepülés,2022,"-11,8","1,3","5,8","2504192,2",0,"218,3","28,83","97,6",0,"15,5","81905,3",0,1505,"26,6","49,5","6,6",0,"0,6","46,5","1,5",100,"20,1","59,8","116,9","19,9",10,4,"180,7",0,"55,33",0,"458,5","9,3",1362
Nárai,Kistelepülés,2022,"1,3","1,3","16,4","2077565,4",0,"386,7","15,8","97,8",522,"46,7","199335,5","1,9",,10,"55,5","6,6","0,7","0,7",10,"0,9",93,"15,8","49,3",0,"33,2","9,1",0,"243,2",0,"9,68",0,"531,6",13,193
Lőkösháza,Kistelepülés,2022,"-3,3","10,7","6,2","1647075,8",0,"199,4","17,84","99,4",96,"24,2",0,0,,40,"57,9","6,7","0,7","1,1",60,"3,4",100,"54,7","50,2","85,1",40,8,"139,3",238,0,"11,4",0,"331,3","10,9",622
Tiszatenyő,Kistelepülés,2022,0,2,"4,7","1751061,5",0,386,"6,43","97,7",0,"32,8","36199,1","1,5",,"33,3","45,2","6,7",0,"0,5","33,3","5,1",100,"11,4","52,8",0,20,"11,1",26,"289,3",0,"12,31",0,"315,3","9,4",1278
Zsadány,Kistelepülés,2022,"13,7","1,3","5,9","1411399,3",0,"463,1","19,79","99,4",0,"116,9","102350,8",0,1497,"33,4","67,6","6,7","0,7","0,3",20,"7,9",100,"9,4","52,5","85,2",10,"12,8","61,5","209,1","6,7","10,04",0,"289,9","8,6",1840
Bükkaranyos,Kistelepülés,2022,"16,7","2,7",13,"2053254,9",0,"333,2","7,43","94,6",279,"70,4","143044,3","3,7",,"26,7","45,2","6,7","1,3","0,4",10,"5,7",100,"11,1","49,7","85,3",10,"13,2",8,264,"53,5","33,33",0,"358,3","12,1",349
Tiszakanyár,Kistelepülés,2022,"-12,4",8,7,"1376799,3",0,"159,5","19,43","91,4",0,"31,1","5813,5",0,1495,"33,4","48,9","6,7",0,0,"33,4","5,9","61,9",79,"45,6","85,4","33,4","15,2","81,6","246,2","20,1","9,8",0,"322,4","8,8",1697
Balatonszentgyörgy,Kistelepülés,2022,"4,7","3,3","13,4","1632563,8",0,"639,9","60,59",95,281,"194,9","110459,5","1,4",1494,"33,5","56,6","6,7",10,3,"53,5","2,3","91,7",63,"46,7",122,"60,2","11,8",6,"327,3","120,5","18,03",0,"531,5",14,100
Sajóörös,Kistelepülés,2022,12,"1,3","23,4","3180773,6",0,"306,4","11,47","98,8",380,14,"172151,6","8,6",,"20,1","57,2",0,"0,7","2,9","10,1","2,4","61,3","38,9",53,0,"10,1","32,3",0,"334,2",0,"31,63",0,"501,3",13,187
Tiszavárkony,Kistelepülés,2022,"16,1","3,4","9,6","2101852,5",0,"140,7","13,56",100,207,"19,5",3358,0,1489,"33,6","54,3","6,7","0,7","0,3","26,9","2,8","91,2","23,3","52,7",0,"26,9","8,1","9,4","280,7",0,"7,15",0,"386,8","11,2",516
Varsány,Kistelepülés,2022,4,"3,4","6,6","1567386,6",0,443,"7,6","87,9",108,"40,4","59100,1",0,1489,"40,3","59,3","6,7","1,3","1,4","20,1","7,8","98,8","14,4","49,6",0,"26,9","16,5","18,8","256,5",0,"3,37",0,"419,7","10,2",825
Pócspetri,Kistelepülés,2022,"-38,7","5,4","6,8","1563773,6",0,569,"15,19","91,4",108,"38,6",165487,0,1488,"60,5","51,4","6,7","0,7",1,"20,2","6,6","97,9",10,"52,1",0,"26,9","20,9","5,4","239,9","13,4","16,37",0,"411,3","10,8",666
Szomolya,Kistelepülés,2022,"18,8","16,2","8,9","1416973,6",0,"497,5","10,99","96,7",199,"128,2","205574,6",0,1485,"20,2",59,"6,7","10,1",5,"20,2",6,100,"16,5",46,"58,1","10,1","16,7","18,9","294,9",0,"32,26",0,"315,2","11,5",472
Mecseknádasd,Kistelepülés,2022,"2,7","3,4","15,2","1615260,9",0,"725,1","19,72","95,8",0,25,"155421,9","1,5",741,54,"75,2","6,7","2,7","0,7",27,"1,6","86,1",27,42,"272,9","87,7","4,6",4,"357,6","215,9","8,24",0,"462,9","10,8",660
Alsópáhok,Kistelepülés,2022,"16,3","0,7","15,1","1691503,4",0,"401,8","54,25","72,2",350,"54,1","2565,2","4,7",1480,"40,5","53,4","6,8","0,7","2,5",27,1,"85,1",9,47,"7679,3","74,3","7,1","8,1","329,7",0,"2,25",0,"505,4","13,3",165
Tiszajenő,Kistelepülés,2022,"12,6","7,4","8,6","1830296,8",0,"191,7",40,"96,6",0,"55,2",0,0,1478,"33,8","65,3",0,"1,4","0,3","20,3","2,6",0,"46,3","50,6",0,"54,1","5,9","16,9","244,2","13,5","5,09",0,"415,4","8,6",1782
Szatmárcseke,Kistelepülés,2022,"-37,1","1,4","6,4","993411,9",0,"665,1","4,86","83,7",71,"125,3",0,0,1476,"27,1","50,3","6,8",0,"3,3","47,4","9,2",100,"97,5","48,1","47,5","20,3","22,3","36,6","187,7","40,7","10,32",0,"258,8","9,7",1114
Kaposfő,Kistelepülés,2022,4,2,"10,4","1943740,7",0,"638,5","59,69",100,0,"225,9","48943,4",0,1474,"20,4","57,1",0,"0,7","1,3","27,1","2,6",100,5,"50,6","86,6","27,1","28,6","6,8","303,3",0,"10,86",0,"462,7","9,3",1319
Kurityán,Kistelepülés,2022,"-0,7","8,8","7,3","1711266,8",0,"200,2","5,81","96,8",105,"10,4","73387,6",0,,"40,8","51,3",0,0,2,34,"3,3",,"93,7","49,9",0,"10,2","9,8","16,3","311,4",0,"23,06",0,"371,9","9,6",1172
Petőfiszállás,Kistelepülés,2022,"-1,4","4,1","8,5","1584078,5",0,"256,7","56,85","39,1",217,"29,6",928,"2,6",1471,"27,2","54,4","6,8",0,"1,8","20,4",2,100,"3,7","51,6","86,7","20,4","11,5","2,7","314,8",0,"13,38",0,"520,1","10,2",833
Papkeszi,Kistelepülés,2022,"-2,8","0,7","7,1","1944684,2",0,"99,4","13,47",100,0,"30,6",0,0,,"74,8","53,9","6,8","0,7","0,7","20,4","2,7",100,"28,5","53,7","86,8","20,4","8,3","33,3","273,5",0,"15,97",0,464,9,1580
Tök,Kistelepülés,2022,"9,1","2,7","20,4","2339871,4",0,"483,4","84,68",100,0,"205,1",204079,"6,2",1470,"20,4","46,7","6,8",0,1,"10,2","1,5",100,"8,6","52,2",0,"40,8","27,8","4,1","304,1",0,"17,59",0,"394,6","11,1",564
Gellénháza,Kistelepülés,2022,"-5,3","0,7","16,5","2433365,2",0,"567,8","43,16","96,3",249,"191,4","35452,7",0,1469,"20,4","53,5","6,8","0,7","1,2","27,2","1,5",100,"35,8","58,1","86,9","47,7","21,1","6,8","349,9","6,8","3,11",0,"511,9","13,5",144
Karád,Kistelepülés,2022,0,"6,1","6,7","1148506,1",0,"222,2","11,57","98,5",0,"84,9","5219,4",0,1469,"27,2",59,"6,8","0,7","0,8","40,8","5,9","38,9",15,"40,8","88,2","27,2","10,1","10,2","272,3","40,8","13,27",0,"392,8","8,7",1731
Kübekháza,Kistelepülés,2022,"-7,6","1,4",7,"1587793,6",0,"241,8","24,74",100,204,"103,4","75085,3",0,1465,"34,1",57,"6,8","0,7","0,7","20,5","2,1",100,"32,5","49,9","87,1","10,2","7,4","10,2","268,9",0,"12,48",0,"326,3","11,1",546
Gyöngyösoroszi,Kistelepülés,2022,"-6,8",28,"4,4",1307057,0,"203,7","12,29","92,3",103,"14,6",0,0,1462,"20,5",65,"6,8",0,"0,9","10,3","8,3",100,"8,8","39,8","87,3",0,"8,4",0,"212,7",0,"14,6",0,"312,6","9,1",1452
Vámosmikola,Kistelepülés,2022,39,"2,7","8,1","1927649,4",0,"451,6","10,31","82,9",128,132,89072,0,1461,"27,4","65,8","6,8","1,4","1,4","54,8","1,7",100,15,"44,8","87,3","20,5","9,1","17,1","329,2",0,"5,39",0,"371,7","10,3",808
Ormosbánya,Kistelepülés,2022,27,11,"3,6","1210334,7",0,"648,4","3,24","84,8",40,"30,2",351194,0,,"27,4","66,6",0,"0,7",1,"10,3","6,4",100,"25,2","42,2","87,5","27,4","14,6","18,5",244,"20,6","23,06",0,"252,2","9,3",1322
Dunaegyháza,Kistelepülés,2022,25,"2,7","7,1","2056108,8",0,"141,2","13,73",100,128,"26,9",0,0,1458,"27,4","54,6","6,9",0,"1,2","41,2","2,6",100,"82,4",51,0,"20,6","8,8","45,3","320,3",0,"10,13",0,"421,8","9,9",986
Kápolna,Kistelepülés,2022,"4,9","10,3",6,"1801922,9",0,"297,1","24,02","98,9",196,"128,6","2120402,3",0,1458,"34,3",54,"6,9",0,"1,6","54,9","5,3",100,"18,1",49,"87,5",48,"6,1","12,3",308,"102,9","14,24",0,"404,7","12,1",348
Szerep,Kistelepülés,2022,"6,8","2,7","2,8","988494,1",0,"474,2","7,07","86,3",26,"36,6","86920,3",0,,"61,7",58,"6,9",0,"1,3","54,9","7,1",100,"8,9","42,9",0,0,"12,6","55,6","181,8","185,2","4,41",0,"209,2","8,6",1823
Mátraszőlős,Kistelepülés,2022,"11,8","7,6","7,6","1712737,5",0,"340,5","8,14","98,3",82,"108,8","669590,6",0,,"27,6","54,9",0,0,"0,9","10,3","8,8","79,6","12,5","49,4",0,0,"12,8","16,6",300,0,"2,98",0,"432,4","9,9",999
Pereszteg,Kistelepülés,2022,"2,8","0,7","9,5","1591271,2",0,"311,4","48,53",100,0,"70,6","79254,8","11,2",1449,"27,6","52,1","6,9",0,"0,1","27,6","0,6","87,9","50,9",48,0,"10,4","14,3",0,"309,9",0,"15,4",0,"543,1","10,1",870
Kunsziget,Kistelepülés,2022,"35,3","1,4","12,6","2830575,6",0,"519,7","237,52","97,4",0,"168,6","45507,5",16,1448,"20,7","48,7","6,9","0,7","3,6","27,6","0,9","98,8","32,7",56,0,"41,4","27,3","17,3","300,4","62,2","46,9",0,"448,9","12,2",321
Pusztaföldvár,Kistelepülés,2022,7,"4,2","4,9","1387022,3",0,"393,9","38,55",70,0,"56,1","94977,2",0,1443,"48,5","56,5","6,9",0,"0,6","27,7","4,9","77,4","17,9","49,4","88,4","27,7","10,6",34,"318,1","235,6","21,72",0,"345,1","8,6",1855
Szepetnek,Kistelepülés,2022,"17,6","1,4",9,"1662569,5",0,"214,7","11,12","99,3",0,"46,6","3380,9",0,1443,"20,8","60,3","6,9",0,"0,8","10,4",4,100,"12,1","48,5",0,"10,4","5,7","12,5","174,6","13,9","8,52",0,422,"8,7",1765
Szákszend,Kistelepülés,2022,"2,1","0,7","6,6","2430462,4",0,"157,5","26,61",100,0,"21,3","3467,4","1,6",1442,"34,7","49,9",0,0,"0,8","20,8","1,6","86,1","8,2","55,9",0,"20,8",15,"10,4","304,4",0,"11,33",0,"473,7","8,6",1792
Vitnyéd,Kistelepülés,2022,"22,5","2,8","11,9",1792838,0,202,"12,14","98,4",0,"17,9","8676,2","7,3",,"10,4","46,9",0,"1,4","0,2","41,7","1,2",100,"24,7","49,2","88,6","27,8","13,3","6,9","328,5","13,9","17,55",0,"472,9","9,4",1270
